uid treatment n p time
timings_reducCol_100_16_10 timings_reducCol 100 16 0.0681190490723
timings_reducCol_10_16_1 timings_reducCol 10 16 1.30856513977
timings_reducCol_10_16_2 timings_reducCol 10 16 2.19223713875
timings_reducCol_10_16_3 timings_reducCol 10 16 0.0611689090729
timings_reducCol_10_16_4 timings_reducCol 10 16 0.098846912384
timings_reducCol_10_16_5 timings_reducCol 10 16 0.0638310909271
timings_reducCol_10_16_6 timings_reducCol 10 16 0.0548129081726
timings_reducCol_10_16_7 timings_reducCol 10 16 0.094575881958
timings_reducCol_10_16_8 timings_reducCol 10 16 0.0437490940094
timings_reducCol_10_16_9 timings_reducCol 10 16 0.276464223862
timings_reducCol_10_16_10 timings_reducCol 10 16 0.151448011398
timings_reducCol_5000_16_1 timings_reducCol 5000 16 0.274441003799
timings_reducCol_5000_16_2 timings_reducCol 5000 16 0.1152780056
timings_reducCol_5000_16_3 timings_reducCol 5000 16 0.0545198917389
timings_reducCol_5000_16_4 timings_reducCol 5000 16 0.2785820961
timings_reducCol_5000_16_5 timings_reducCol 5000 16 0.300262928009
timings_reducCol_5000_16_6 timings_reducCol 5000 16 0.154768943787
timings_reducCol_5000_16_7 timings_reducCol 5000 16 0.0612559318542
timings_reducCol_5000_16_8 timings_reducCol 5000 16 0.12159705162
timings_reducCol_5000_16_9 timings_reducCol 5000 16 0.118719100952
timings_reducCol_5000_16_10 timings_reducCol 5000 16 0.0721747875214
timings_reducCol_100_64_1 timings_reducCol 100 64 0.819631099701
timings_reducCol_100_64_2 timings_reducCol 100 64 1.40252184868
timings_reducCol_100_64_3 timings_reducCol 100 64 0.547703027725
timings_reducCol_100_64_4 timings_reducCol 100 64 0.331574201584
timings_reducCol_100_64_5 timings_reducCol 100 64 0.421547174454
timings_reducCol_100_64_6 timings_reducCol 100 64 1.2540640831
timings_reducCol_100_64_7 timings_reducCol 100 64 0.197403907776
timings_reducCol_100_64_8 timings_reducCol 100 64 0.179665803909
timings_reducCol_100_64_9 timings_reducCol 100 64 0.173197031021
timings_reducCol_100_64_10 timings_reducCol 100 64 0.688849925995
timings_reducCol_10_64_1 timings_reducCol 10 64 1.04962706566
timings_reducCol_10_64_2 timings_reducCol 10 64 0.151272058487
timings_reducCol_10_64_3 timings_reducCol 10 64 0.344403028488
timings_reducCol_10_64_4 timings_reducCol 10 64 0.56162405014
timings_reducCol_10_64_5 timings_reducCol 10 64 2.02675104141
timings_reducCol_10_64_6 timings_reducCol 10 64 0.310356140137
